Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Take Profit,Trailing Stop,Financing,Commission,Conversion Rate,P/L,Amount,Balance
63,10/22/2019 01:47:26 AM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,USD/CHF,0.98919,500,Buy,0.0379,,,,-0.00020,0.0000,1.0110,-0.37410,,201.00
64,10/22/2019 01:47:26 AM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
65,10/22/2019 01:47:32 AM,PDT,MARKET_ORDER,TRADE_CLOSE,USD/CHF,,300,Buy,,,,,,,,,,
66,10/22/2019 01:47:32 AM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,USD/CHF,0.98919,300,Buy,0.0227,,,,-0.00030,0.0000,1.0110,-0.20020,,200.80
67,10/22/2019 01:47:32 AM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
68,10/22/2019 01:55:36 AM,PDT,MARKET_ORDER,CLIENT_ORDER,EUR/JPY,,600,Buy,,,121.19400,,,,,,,
69,10/22/2019 01:55:36 AM,PDT,ORDER_FILL,MARKET_ORDER,EUR/JPY,120.94400,600,Buy,0.0442,,,,0.00000,0.0000,,0.00000,,200.80
70,10/22/2019 01:55:36 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,121.19400,,,,,,,,,,,,
71,10/22/2019 01:58:28 AM,PDT,MARKET_ORDER,CLIENT_ORDER,GBP/JPY,,300,Buy,,,140.75300,,,,,,,
72,10/22/2019 01:58:28 AM,PDT,ORDER_FILL,MARKET_ORDER,GBP/JPY,140.46400,300,Buy,0.0401,,,,0.00000,0.0000,,0.00000,,200.80
73,10/22/2019 01:58:28 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,140.75300,,,,,,,,,,,,
74,10/22/2019 02:19:43 AM,PDT,STOP_LOSS_ORDER,CLIENT_ORDER,,140.10700,,,,,,,,,,,,
75,10/22/2019 02:20:04 AM,PDT,STOP_LOSS_ORDER,CLIENT_ORDER,,120.65800,,,,,,,,,,,,
76,10/22/2019 03:53:26 AM,PDT,ORDER_FILL,TAKE_PROFIT_ORDER,GBP/JPY,140.75300,300,Sell,0.0428,,,,0.00010,0.0000,0.0092,0.79850,,201.60
77,10/22/2019 03:53:26 AM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
78,10/22/2019 04:22:30 AM,PDT,MARKET_ORDER,TRADE_CLOSE,EUR/JPY,,600,Sell,,,,,,,,,,
79,10/22/2019 04:22:30 AM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,EUR/JPY,120.96200,600,Sell,0.0442,,,,-0.00220,0.0000,0.0092,0.09940,,201.69
80,10/22/2019 04:22:30 AM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
81,10/22/2019 04:22:30 AM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
82,10/22/2019 01:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,-0.02390,,,,,201.67
,10/22/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 8,USD/CAD,,,,,,,,-0.00370,,,,,
,10/22/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 35,USD/CAD,,,,,,,,-0.00250,,,,,
,10/22/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 43,USD/CAD,,,,,,,,-0.00500,,,,,
,10/22/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 16,AUD/USD,,,,,,,,0.00190,,,,,
,10/22/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 5,NZD/USD,,,,,,,,-0.00340,,,,,
,10/22/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 32,NZD/JPY,,,,,,,,-0.01120,,,,,
83,10/22/2019 05:08:06 PM,PDT,MARKET_ORDER,CLIENT_ORDER,USD/CHF,,600,Sell,,,0.98720,,,,,,,
84,10/22/2019 05:08:06 PM,PDT,ORDER_FILL,MARKET_ORDER,USD/CHF,0.98924,600,Sell,0.0606,,,,0.00000,0.0000,,0.00000,,201.67
85,10/22/2019 05:08:06 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,0.98720,,,,,,,,,,,,
86,10/22/2019 05:30:04 PM,PDT,MARKET_ORDER,CLIENT_ORDER,EUR/JPY,,500,Buy,,,120.82900,,,,,,,
87,10/22/2019 05:30:04 PM,PDT,ORDER_FILL,MARKET_ORDER,EUR/JPY,120.57900,500,Buy,0.0392,,,,0.00000,0.0000,,0.00000,,201.67
88,10/22/2019 05:30:04 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,120.82900,,,,,,,,,,,,
89,10/22/2019 05:31:34 PM,PDT,STOP_LOSS_ORDER,CLIENT_ORDER,,120.31700,,,,,,,,,,,,
90,10/22/2019 05:32:21 PM,PDT,MARKET_ORDER,TRADE_CLOSE,NZD/JPY,,200,Buy,,,,,,,,,,
91,10/22/2019 05:32:21 PM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,NZD/JPY,69.45300,200,Buy,0.0194,,,,-0.00210,0.0000,0.0092,0.10710,,201.78
92,10/22/2019 05:32:21 PM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
93,10/22/2019 05:53:22 PM,PDT,STOP_LOSS_ORDER,CLIENT_ORDER,,0.99155,,,,,,,,,,,,
94,10/22/2019 07:59:07 PM,PDT,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,,
95,10/22/2019 07:59:07 PM,PDT,STOP_LOSS_ORDER,REPLACEMENT,,120.41000,,,,,,,,,,,,
96,10/22/2019 08:06:45 PM,PDT,ORDER_FILL,STOP_LOSS_ORDER,EUR/JPY,120.40900,500,Sell,0.0346,,,,-0.00200,0.0000,0.0092,-0.78480,,200.99
97,10/22/2019 08:06:45 PM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
98,10/23/2019 01:09:41 AM,PDT,ORDER_CANCEL,CLIENT_REQUEST,,,,,,,,,,,,,,
99,10/23/2019 04:02:29 AM,PDT,MARKET_ORDER,TRADE_CLOSE,AUD/USD,,200,Buy,,,,,,,,,,
100,10/23/2019 04:02:29 AM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,AUD/USD,0.68398,200,Buy,0.0130,,,,0.00120,0.0000,1.0000,0.30600,,201.30
101,10/23/2019 04:02:29 AM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
102,10/23/2019 08:47:41 AM,PDT,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,,
103,10/23/2019 08:47:41 AM,PDT,MARKET_IF_TOUCHED_ORDER,REPLACEMENT,USD/CAD,1.30700,600,Buy,,,1.31100,,,,,,,
104,10/23/2019 08:47:45 AM,PDT,ORDER_CANCEL,CLIENT_REQUEST,,,,,,,,,,,,,,
105,10/23/2019 10:23:50 AM,PDT,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,,
106,10/23/2019 10:23:50 AM,PDT,MARKET_IF_TOUCHED_ORDER,REPLACEMENT,USD/CAD,1.30770,600,Buy,,,1.31100,,,,,,,
107,10/23/2019 10:27:22 AM,PDT,ORDER_CANCEL,CLIENT_REQUEST,,,,,,,,,,,,,,
108,10/23/2019 10:33:13 AM,PDT,MARKET_ORDER,CLIENT_ORDER,USD/CAD,,601,Buy,,,1.31043,,,,,,,
109,10/23/2019 10:33:13 AM,PDT,ORDER_FILL,MARKET_ORDER,USD/CAD,1.30793,601,Buy,0.0345,,,,0.00000,0.0000,,0.00000,,201.30
110,10/23/2019 10:33:13 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,1.31043,,,,,,,,,,,,
111,10/23/2019 01:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,-0.06710,,,,,201.23
,10/23/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 8,USD/CAD,,,,,,,,-0.00380,,,,,
,10/23/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 35,USD/CAD,,,,,,,,-0.00250,,,,,
,10/23/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 43,USD/CAD,,,,,,,,-0.00500,,,,,
,10/23/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 109,USD/CAD,,,,,,,,-0.00070,,,,,
,10/23/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 84,USD/CHF,,,,,,,,-0.05170,,,,,
,10/23/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 5,NZD/USD,,,,,,,,-0.00340,,,,,
112,10/24/2019 05:51:42 AM,PDT,MARKET_ORDER,CLIENT_ORDER,USD/CAD,,401,Buy,,,1.31092,,,,,,,
113,10/24/2019 05:51:42 AM,PDT,ORDER_FILL,MARKET_ORDER,USD/CAD,1.30642,401,Buy,0.0246,,,,0.00000,0.0000,,0.00000,,201.23
114,10/24/2019 05:51:42 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,1.31092,,,,,,,,,,,,
115,10/24/2019 10:56:56 AM,PDT,MARKET_ORDER,TRADE_CLOSE,NZD/USD,,200,Buy,,,,,,,,,,
116,10/24/2019 10:56:56 AM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,NZD/USD,0.63785,200,Buy,0.0140,,,,-0.00310,0.0000,1.0000,-0.01800,,201.21
117,10/24/2019 10:56:56 AM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
118,10/24/2019 01:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,-0.08270,,,,,201.13
,10/24/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 8,USD/CAD,,,,,,,,-0.00380,,,,,
,10/24/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 35,USD/CAD,,,,,,,,-0.00250,,,,,
,10/24/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 43,USD/CAD,,,,,,,,-0.00500,,,,,
,10/24/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 109,USD/CAD,,,,,,,,-0.00750,,,,,
,10/24/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 113,USD/CAD,,,,,,,,-0.00150,,,,,
,10/24/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 84,USD/CHF,,,,,,,,-0.06240,,,,,
119,10/25/2019 01:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,-0.08640,,,,,201.04
,10/25/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 8,USD/CAD,,,,,,,,-0.00380,,,,,
,10/25/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 35,USD/CAD,,,,,,,,-0.00260,,,,,
,10/25/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 43,USD/CAD,,,,,,,,-0.00510,,,,,
,10/25/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 109,USD/CAD,,,,,,,,-0.00750,,,,,
,10/25/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 113,USD/CAD,,,,,,,,-0.00500,,,,,
,10/25/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 84,USD/CHF,,,,,,,,-0.06240,,,,,
120,10/26/2019 01:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,-0.08640,,,,,200.95
,10/26/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 8,USD/CAD,,,,,,,,-0.00380,,,,,
,10/26/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 35,USD/CAD,,,,,,,,-0.00260,,,,,
,10/26/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 43,USD/CAD,,,,,,,,-0.00510,,,,,
,10/26/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 109,USD/CAD,,,,,,,,-0.00750,,,,,
,10/26/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 113,USD/CAD,,,,,,,,-0.00500,,,,,
,10/26/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 84,USD/CHF,,,,,,,,-0.06240,,,,,
121,10/27/2019 01:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,-0.08640,,,,,200.87
,10/27/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 8,USD/CAD,,,,,,,,-0.00380,,,,,
,10/27/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 35,USD/CAD,,,,,,,,-0.00260,,,,,
,10/27/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 43,USD/CAD,,,,,,,,-0.00510,,,,,
,10/27/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 109,USD/CAD,,,,,,,,-0.00750,,,,,
,10/27/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 113,USD/CAD,,,,,,,,-0.00500,,,,,
,10/27/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 84,USD/CHF,,,,,,,,-0.06240,,,,,
122,10/28/2019 01:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,-0.08640,,,,,200.78
,10/28/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 8,USD/CAD,,,,,,,,-0.00380,,,,,
,10/28/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 35,USD/CAD,,,,,,,,-0.00260,,,,,
,10/28/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 43,USD/CAD,,,,,,,,-0.00510,,,,,
,10/28/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 109,USD/CAD,,,,,,,,-0.00750,,,,,
,10/28/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 113,USD/CAD,,,,,,,,-0.00500,,,,,
,10/28/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 84,USD/CHF,,,,,,,,-0.06240,,,,,
123,10/28/2019 06:50:30 PM,PDT,MARKET_ORDER,CLIENT_ORDER,AUD/JPY,,300,Sell,,,74.29400,,,,,,,
124,10/28/2019 06:50:30 PM,PDT,ORDER_FILL,MARKET_ORDER,AUD/JPY,74.54100,300,Sell,0.0193,,,,0.00000,0.0000,,0.00000,,200.78
125,10/28/2019 06:50:30 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,74.29400,,,,,,,,,,,,
126,10/28/2019 09:33:24 PM,PDT,MARKET_ORDER,CLIENT_ORDER,USD/CHF,,300,Sell,,,0.99207,,,,,,,
127,10/28/2019 09:33:24 PM,PDT,ORDER_FILL,MARKET_ORDER,USD/CHF,0.99457,300,Sell,0.0287,,,,0.00000,0.0000,,0.00000,,200.78
128,10/28/2019 09:33:24 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,0.99207,,,,,,,,,,,,
129,10/29/2019 05:32:06 AM,PDT,MARKET_IF_TOUCHED_ORDER,CLIENT_ORDER,USD/CAD,1.30400,303,Buy,,,,,,,,,,
130,10/29/2019 05:33:44 AM,PDT,ORDER_CANCEL,CLIENT_REQUEST,,,,,,,,,,,,,,
131,10/29/2019 09:43:32 AM,PDT,MARKET_ORDER,TRADE_CLOSE,USD/CAD,,401,Sell,,,,,,,,,,
132,10/29/2019 09:43:32 AM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,USD/CAD,1.30896,401,Sell,0.0245,,,,-0.00430,0.0000,0.7638,0.77800,,201.55
133,10/29/2019 09:43:32 AM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
134,10/29/2019 09:49:20 AM,PDT,MARKET_ORDER,TRADE_CLOSE,USD/CAD,,601,Sell,,,,,,,,,,
