Ticket;Date;Timezone;Transaction;Details;Instrument;Price;Units;Direction;Spread;Cost;Stop;Loss;Take;Profit;Trailing;Stop;Financing;Commission;P/L;Amount;Balance
7268;01/09/2019;07:44:20;AM;MST;MARKET_ORDER;CLIENT_ORDER;EUR/USD;;1;Sell;;;;;;;;;;;
7269;01/09/2019;07:44:20;AM;MST;ORDER_FILL;MARKET_ORDER;EUR/USD;1.15122;1;Sell;0.0001;;;;0;0;0;;925.91;;
7270;01/09/2019;07:44:20;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;1.14878;;;;;;;;;;;;;
7271;01/09/2019;07:44:20;AM;MST;STOP_LOSS_ORDER;ON_FILL;;1.15328;;;;;;;;;;;;;
7272;01/09/2019;07:45:13;AM;MST;MARKET_ORDER;CLIENT_ORDER;AUD/USD;;1;Sell;;;;;;;;;;;
7273;01/09/2019;07:45:13;AM;MST;ORDER_FILL;MARKET_ORDER;AUD/USD;0.71816;1;Sell;0.0001;;;;0;0;0;;925.91;;
7274;01/09/2019;07:45:13;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;0.71559;;;;;;;;;;;;;
7275;01/09/2019;07:45:13;AM;MST;STOP_LOSS_ORDER;ON_FILL;;0.72009;;;;;;;;;;;;;
7276;01/09/2019;07:46:10;AM;MST;MARKET_ORDER;CLIENT_ORDER;GBP/USD;;1;Buy;;;;;;;;;;;
7277;01/09/2019;07:46:10;AM;MST;ORDER_FILL;MARKET_ORDER;GBP/USD;1.27856;1;Buy;0.0001;;;;0;0;0;;925.91;;
7278;01/09/2019;07:46:10;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;1.2804;;;;;;;;;;;;;
7279;01/09/2019;07:46:10;AM;MST;STOP_LOSS_ORDER;ON_FILL;;1.2764;;;;;;;;;;;;;
7280;01/09/2019;07:46:14;AM;MST;ORDER_FILL;MARKET_IF_TOUCHED_ORDER;USD/CAD;1.32199;1;Buy;0.0001;;;;0;0;0;;925.91;;
7281;01/09/2019;07:46:14;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;1.3245;;;;;;;;;;;;;
7282;01/09/2019;07:46:14;AM;MST;STOP_LOSS_ORDER;ON_FILL;;1.32;;;;;;;;;;;;;
7283;01/09/2019;08:01:10;AM;MST;ORDER_FILL;STOP_LOSS_ORDER;USD/CAD;1.32;1;Sell;0.0001;;;;0;0;-0.0015;;925.91;;
7284;01/09/2019;08:01:10;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7285;01/09/2019;08:01:33;AM;MST;ORDER_FILL;STOP_LOSS_ORDER;EUR/USD;1.15328;1;Buy;0.0001;;;;0;0;-0.0021;;925.91;;
7286;01/09/2019;08:01:33;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7287;01/09/2019;08:02:34;AM;MST;MARKET_ORDER;CLIENT_ORDER;USD/CAD;;1;Buy;;;;;;;;;;;
7288;01/09/2019;08:02:34;AM;MST;ORDER_FILL;MARKET_ORDER;USD/CAD;1.31938;1;Buy;0.0001;;;;0;0;0;;925.91;;
7289;01/09/2019;08:02:34;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;1.32201;;;;;;;;;;;;;
7290;01/09/2019;08:02:34;AM;MST;STOP_LOSS_ORDER;ON_FILL;;1.31751;;;;;;;;;;;;;
7291;01/09/2019;08:05:41;AM;MST;ORDER_CANCEL;CLIENT_REQUEST_REPLACED;;;;;;;;;;;;;;;
7292;01/09/2019;08:05:41;AM;MST;STOP_LOSS_ORDER;REPLACEMENT;;1.31671;;;;;;;;;;;;;
7293;01/09/2019;08:08:41;AM;MST;MARKET_ORDER;CLIENT_ORDER;EUR/USD;;1;Buy;;;;;;;;;;;
7294;01/09/2019;08:08:41;AM;MST;ORDER_FILL;MARKET_ORDER;EUR/USD;1.15303;1;Buy;0.0001;;;;0;0;0;;925.91;;
7295;01/09/2019;08:08:41;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;1.15598;;;;;;;;;;;;;
7296;01/09/2019;08:08:41;AM;MST;STOP_LOSS_ORDER;ON_FILL;;1.15098;;;;;;;;;;;;;
