Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Take Profit,Trailing Stop,Financing,Commission,P/L,Amount,Balance
2499,11/24/2017 08:01:18 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2500,11/24/2017 08:01:18 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,149.31100,,,,,,,,,,,
2501,11/24/2017 08:01:38 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2502,11/24/2017 08:01:38 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,149.29600,,,,,,,,,,,
2503,11/24/2017 08:02:12 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2504,11/24/2017 08:02:12 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,149.29200,,,,,,,,,,,
2505,11/24/2017 08:02:33 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2506,11/24/2017 08:02:33 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,149.28300,,,,,,,,,,,
2507,11/24/2017 08:02:57 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2508,11/24/2017 08:02:57 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,149.26800,,,,,,,,,,,
2509,11/24/2017 08:03:57 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2510,11/24/2017 08:03:57 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,148.99400,,,,,,,,,,,
2511,11/24/2017 08:06:29 AM,PST,MARKET_ORDER,CLIENT_ORDER,EUR/USD,,330,Sell,,,,,,,,,
2512,11/24/2017 08:06:29 AM,PST,ORDER_FILL,MARKET_ORDER,EUR/USD,1.19324,330,Sell,,,,,0.00000,0.0000,0.00000,,4495.68
2513,11/24/2017 08:06:29 AM,PST,TAKE_PROFIT_ORDER,ON_FILL,,1.19073,,,,,,,,,,,
2514,11/24/2017 08:08:30 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2515,11/24/2017 08:08:30 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,149.19000,,,,,,,,,,,
2516,11/24/2017 08:20:58 AM,PST,MARKET_ORDER,CLIENT_ORDER,EUR/USD,,500,Sell,,,,,,,,,
2517,11/24/2017 08:20:58 AM,PST,ORDER_FILL,MARKET_ORDER,EUR/USD,1.19402,500,Sell,,,,,0.00000,0.0000,0.00000,,4495.68
2518,11/24/2017 08:20:58 AM,PST,TAKE_PROFIT_ORDER,ON_FILL,,1.19152,,,,,,,,,,,
2519,11/24/2017 08:23:39 AM,PST,MARKET_ORDER,CLIENT_ORDER,EUR/JPY,,410,Sell,,,,,,,,,
2520,11/24/2017 08:23:39 AM,PST,ORDER_FILL,MARKET_ORDER,EUR/JPY,133.16800,410,Sell,,,,,0.00000,0.0000,0.00000,,4495.68
2521,11/24/2017 08:23:39 AM,PST,TAKE_PROFIT_ORDER,ON_FILL,,132.91800,,,,,,,,,,,
2522,11/24/2017 10:28:20 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
